Habitats,Abundance,Richness,Diversity,Evenness
Evergreen,106,20,2.19756828092194,0.73356631375969
Deciduous,83,14,1.95729937663226,0.741666107313253
OliveGrove,522,22,2.01212070257038,0.650952140881882
Maquis,298,25,2.42341159922272,0.752875143707026
Phrygana,571,29,2.21912618486251,0.659023233153657
Successional,255,16,2.08315150278073,0.751338085620537
Agricultural,254,11,0.844240557653831,0.352075658695717
Dunes,11,6,1.59416669911802,0.88972137527189
Marshlands,61,13,2.17515281219795,0.84802953550344
LowlandRiver,170,18,2.24869852232724,0.777996296214855
HighlandRiver,143,18,2.40812243855621,0.833153185910253
Lagoon,133,17,2.01907943721949,0.712646451936036
SaltFlats,25,9,1.77563948372335,0.808128355216209
LargeTown,169,12,1.35075383807526,0.543583332673884
SmallTown,202,16,0.932972325534072,0.336498636833662
Mixed,584,41,3.21124682822531,0.864732599918331
