,Evergreen,Deciduous,OliveGrove,Maquis,Phrygana,Successional,Agricultural,Dunes,Marshlands,LowlandRiver,HighlandRiver,Lagoon,SaltFlats,LargeTown,SmallTown,Mixed
Evergreen,0,0.62,0.7,0.56,0.75,0.51,0.66,0.83,0.6,0.36,0.51,0.76,0.68,0.8,0.81,0.71
Deciduous,0.62,0,0.87,0.8,0.8,0.83,0.83,0.87,0.72,0.72,0.63,0.88,0.7,0.66,0.85,0.76
OliveGrove,0.7,0.87,0,0.67,0.74,0.53,0.36,0.96,0.81,0.56,0.69,0.75,0.91,0.84,0.85,0.56
Maquis,0.56,0.8,0.67,0,0.59,0.47,0.75,0.94,0.68,0.59,0.65,0.71,0.86,0.61,0.64,0.55
Phrygana,0.75,0.8,0.74,0.59,0,0.67,0.84,0.96,0.81,0.74,0.71,0.82,0.92,0.82,0.86,0.51
Successional,0.51,0.83,0.53,0.47,0.67,0,0.56,0.95,0.71,0.54,0.61,0.74,0.86,0.74,0.75,0.54
Agricultural,0.66,0.83,0.36,0.75,0.84,0.56,0,0.94,0.82,0.51,0.75,0.74,0.85,0.9,0.89,0.69
Dunes,0.83,0.87,0.96,0.94,0.96,0.95,0.94,0,0.72,0.88,0.86,0.85,0.5,0.9,0.91,0.96
Marshlands,0.6,0.72,0.81,0.68,0.81,0.71,0.82,0.72,0,0.67,0.52,0.54,0.51,0.65,0.7,0.81
LowlandRiver,0.36,0.72,0.56,0.59,0.74,0.54,0.51,0.88,0.67,0,0.54,0.57,0.76,0.82,0.86,0.6
HighlandRiver,0.51,0.63,0.69,0.65,0.71,0.61,0.75,0.86,0.52,0.54,0,0.62,0.73,0.69,0.72,0.67
Lagoon,0.76,0.88,0.75,0.71,0.82,0.74,0.74,0.85,0.54,0.57,0.62,0,0.77,0.68,0.7,0.72
SaltFlats,0.68,0.7,0.91,0.86,0.92,0.86,0.85,0.5,0.51,0.76,0.73,0.77,0,0.79,0.81,0.92
LargeTown,0.8,0.66,0.84,0.61,0.82,0.74,0.9,0.9,0.65,0.82,0.69,0.68,0.79,0,0.37,0.71
SmallTown,0.81,0.85,0.85,0.64,0.86,0.75,0.89,0.91,0.7,0.86,0.72,0.7,0.81,0.37,0,0.82
Mixed,0.71,0.76,0.56,0.55,0.51,0.54,0.69,0.96,0.81,0.6,0.67,0.72,0.92,0.71,0.82,0
